start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
홍대입구,가능,30,30,0.00011053333333333285,7.2636232158863245e-06,0.00010390000000004562,0.00013870000000004712
신설동,창동,30,30,4.4490000000000734e-05,4.8268934108885265e-06,4.1300000000021875e-05,6.4000000000064e-05
개봉,대방,30,30,1.5309999999998012e-05,3.6973278639374373e-06,9.900000000007125e-06,3.0000000000085514e-05
양천구청,신길,30,30,1.5043333333331077e-05,2.867714924619127e-06,1.3099999999988121e-05,2.7200000000004998e-05
삼성,구일,30,30,5.621999999999202e-05,5.109624904699366e-06,5.250000000001087e-05,7.610000000002337e-05
삼송,까치산,30,30,6.317333333335136e-05,5.09842677258702e-06,5.8400000000013996e-05,8.220000000003225e-05
남영,진위,30,30,0.00016026000000000465,9.6719043281703e-06,0.0001494999999999136,0.00019239999999998147
금천구청,홍제,30,30,8.68466666666697e-05,5.576063924390971e-06,8.310000000000262e-05,0.00010929999999997886
도곡,도림천,30,30,5.677333333334866e-05,3.702695714681579e-06,5.460000000001575e-05,7.290000000004238e-05
중앙,마곡,30,30,5.9566666666677204e-05,5.386670792082527e-06,5.450000000006838e-05,7.88000000000455e-05
석수,혜화,30,30,0.00011177666666666679,2.620041581519565e-05,9.490000000000887e-05,0.0001901999999999182
을지로4가,백운,30,30,0.00011522666666668643,1.0351100853947357e-05,0.00010840000000000849,0.00015659999999995122
회기,방배,30,30,7.31333333333232e-05,1.5794816308578484e-05,6.399999999995298e-05,0.0001310999999999396
신답,온양온천,30,30,0.0002042233333333199,2.7533018763349478e-05,0.00018839999999997747,0.0003450000000000397
연신내,인천,30,30,0.0001241566666666601,1.1302232326210453e-05,0.00011349999999998861,0.0001754999999999951
학여울,정발산,30,30,9.417333333332131e-05,6.109497160611885e-06,8.750000000001812e-05,0.00011620000000001074
대화,상왕십리,30,30,0.00011182666666666637,2.2476846358474915e-05,9.890000000001287e-05,0.00019020000000002923
부개,군포,30,30,3.562333333333445e-05,4.527153876573995e-06,3.2799999999943985e-05,5.5299999999980365e-05
쌍용,개화산,30,30,0.00017009999999999524,5.888397065416207e-05,0.00014219999999998123,0.00044040000000000745
부평,보산,30,30,0.00015317000000000618,0.00010106899343186416,0.00011900000000009126,0.0005470999999999115
간석,금호,30,30,0.00012375333333333554,7.604723678236373e-06,0.00011620000000001074,0.00014930000000001886
구파발,부평,30,30,0.00010308999999999827,1.4536903613441392e-05,9.029999999998761e-05,0.00015719999999996848
금정,고덕,30,30,0.0001221099999999938,1.044427594424945e-05,0.00011179999999999524,0.00015409999999993484
신정네거리,금호,30,30,9.155999999998684e-05,7.119157253498952e-06,8.430000000003712e-05,0.00011890000000003287
하남풍산,삼각지,30,30,9.129000000000683e-05,7.091654719938644e-06,8.390000000002562e-05,0.00011410000000000586
성환,진위,30,30,1.158666666665568e-05,3.0200147166771934e-06,9.799999999948739e-06,2.469999999998862e-05
범계,회기,30,30,0.0001102699999999975,2.534177249785141e-05,8.770000000002387e-05,0.00019659999999999123
도봉산,중동,30,30,0.0001185733333333383,2.220349722203225e-05,9.190000000003362e-05,0.00017460000000002474
상계,중동,30,30,0.00010824999999999492,2.4432120251841558e-05,9.029999999998761e-05,0.00017750000000005262
용답,미사,30,30,5.8186666666656024e-05,1.1254265364255613e-05,4.5300000000025875e-05,9.489999999989784e-05
녹양,녹천,30,30,1.7803333333329027e-05,4.512315247066855e-06,1.529999999994036e-05,3.9699999999975866e-05
이대,애오개,30,30,7.323333333323726e-06,1.910616538077872e-06,6.599999999967743e-06,1.6800000000039006e-05
을지로4가,용산,30,30,2.5563333333337528e-05,2.69016521590836e-06,2.4000000000024002e-05,3.819999999998824e-05
종합운동장,구로디지털단지,30,30,3.2746666666686836e-05,3.843065905700695e-06,3.0100000000032878e-05,4.890000000001837e-05
