호선,역명,시간(분)
1,소요산,0:00
1,동두천,4:00
1,보산,2:00
1,동두천중앙,2:00
1,지행,1:30
1,덕정,4:30
1,덕계,3:00
1,양주,4:30
1,녹양,2:00
1,가능,1:30
1,의정부,2:00
1,화룡,2:30
1,망월사,2:00
1,도봉산,2:30
1,도봉,1:30
1,방학,1:30
1,창동,2:00
1,녹천,1:30
1,월계,2:00
1,광운대,1:30
1,석계,2:00
1,신이문,2:00
1,외대앞,1:00
1,회기,2:30
1,청량리,3:30
1,제기동,1:30
1,신설동,1:30
1,동묘앞,1:30
1,동대문,1:30
1,종로5가,1:30
1,종로3가,1:30
1,종각,1:30
1,시청,2:00
1,서울역,2:00
1,남영,2:30
1,용산,2:00
1,노량진,3:00
1,대방,2:00
1,신길,1:00
1,영등포,2:00
1,신도림,2:00
1,구로,1:30
