start,goal,run,elapsed_sec,total_min,path
대방,건대입구,11,0.000224,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,12,0.000259,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,13,0.000247,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,14,0.000244,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,15,0.000241,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,16,0.000243,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,17,0.00024,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,18,0.00024,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,19,0.000234,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
대방,건대입구,20,0.000237,60.0,1호선 대방 --2.5분→ 1호선 노량진 --3.5분→ 1호선 용산 --2.5분→ 1호선 남영 --3.0분→ 1호선 서울역 --2.2분→ 4호선 서울역 --2.0분→ 4호선 회현 --1.5분→ 4호선 명동 --1.5분→ 4호선 충무로 --0.2분→ 3호선 충무로 --2.0분→ 3호선 동대입구 --1.5분→ 3호선 약수 --1.5분→ 3호선 금호 --1.5분→ 3호선 옥수 --2.5분→ 3호선 압구정 --2.5분→ 3호선 신사 --2.0분→ 3호선 잠원 --2.0분→ 3호선 고속터미널 --2.5분→ 3호선 교대 --1.1분→ 2호선 교대 --2.0분→ 2호선 강남 --1.5분→ 2호선 역삼 --2.0분→ 2호선 선릉 --2.0분→ 2호선 삼성 --2.0분→ 2호선 종합운동장 --2.0분→ 2호선 잠실새내 --2.0분→ 2호선 잠실 --2.0분→ 2호선 잠실나루 --2.5분→ 2호선 강변 --1.5분→ 2호선 구의 --2.5분→ 2호선 건대입구
