start,target,distance,path,avg_time
1_직산,5_올림픽공원,135.15,"['1_직산', '1_성환', '1_평택', '1_지제', '1_서정리', '1_송탄', '1_진위', '1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '4_금정', '4_범계', '4_평촌', '4_인덕원', '4_정부과천청사', '4_과천', '4_대공원', '4_경마공원', '4_선바위', '4_남태령', '4_사당', '2_사당', '2_방배', '2_서초', '2_교대', '3_교대', '3_남부터미터널', '3_양재', '3_매봉', '3_도곡', '3_대치', '3_학여울', '3_대청', '3_일원', '3_수서', '3_가락시장', '3_경찰병원', '3_오금', '5_오금', '5_방이', '5_올림픽공원']",1.69544267312934e-05
2_구의,1_남영,27.35,"['2_구의', '2_건대입구', '2_성수', '2_뚝섬', '2_한양대', '2_왕십리', '2_상왕십리', '2_신당', '2_동대문역사문화공원', '4_동대문역사문화공원', '4_충무로', '4_명동', '4_회현', '4_서울역', '1_서울역', '1_남영']",3.0290166614577173e-05
1_월계,1_종로5가,26.0,"['1_월계', '1_성북', '1_석계', '1_신이문', '1_외대앞', '1_회기', '1_청량리', '1_제기동', '1_신설동', '1_동묘앞', '1_동대문', '1_종로5가']",2.605270128697157e-05
1_대방,1_신길,1.5,"['1_대방', '1_신길']",2.2318136567870777e-05
1_명학,1_녹천,75.38333333333333,"['1_명학', '1_안양', '1_관악', '1_석수', '1_금천구청', '1_독산', '1_가산디지털단지', '1_구로', '1_신도림', '1_영등포', '1_신길', '1_대방', '1_노량진', '1_용산', '1_남영', '1_서울역', '4_서울역', '4_회현', '4_명동', '4_충무로', '4_동대문역사문화공원', '4_동대문', '4_혜화', '4_한성대입구', '4_성신여대입구', '4_길음', '4_미아사거리', '4_미아', '4_수유', '4_쌍문', '4_창동', '1_창동', '1_녹천']",3.421250148676336e-05
3_일원,1_관악,60.18333333333334,"['3_일원', '3_대청', '3_학여울', '3_대치', '3_도곡', '3_매봉', '3_양재', '3_남부터미터널', '3_교대', '2_교대', '2_서초', '2_방배', '2_사당', '2_낙성대', '2_서울대입구', '2_봉천', '2_신림', '2_신대방', '2_구로디지털단지', '2_대림', '2_신도림', '1_신도림', '1_구로', '1_가산디지털단지', '1_독산', '1_금천구청', '1_석수', '1_관악']",2.0547259676580628e-05
3_경찰병원,3_대청,8.5,"['3_경찰병원', '3_가락시장', '3_수서', '3_일원', '3_대청']",1.651933416724205e-05
4_과천,2_영등포구청,34.03333333333333,"['4_과천', '4_대공원', '4_경마공원', '4_선바위', '4_남태령', '4_사당', '2_사당', '2_낙성대', '2_서울대입구', '2_봉천', '2_신림', '2_신대방', '2_구로디지털단지', '2_대림', '2_신도림', '2_문래', '2_영등포구청']",1.5872204676270486e-05
2_홍대입구,2_동대문역사문화공원,16.5,"['2_홍대입구', '2_신촌', '2_이대', '2_아현', '2_충정로', '2_시청', '2_을지로입구', '2_을지로3가', '2_을지로4가', '2_동대문역사문화공원']",2.1477767343943318e-05
5_광화문,1_동두천중앙,68.48333333333333,"['5_광화문', '5_종로3가', '5_을지로4가', '5_동대문역사문화공원', '4_동대문역사문화공원', '4_동대문', '4_혜화', '4_한성대입구', '4_성신여대입구', '4_길음', '4_미아사거리', '4_미아', '4_수유', '4_쌍문', '4_창동', '1_창동', '1_방학', '1_도봉', '1_도봉산', '1_망월사', '1_회룡', '1_의정부', '1_가능', '1_녹양', '1_양주', '1_덕계', '1_덕정', '1_지행', '1_동두천중앙']",2.3645663168281318e-05
1_서울역,5_화곡,31.366666666666664,"['1_서울역', '1_남영', '1_용산', '1_노량진', '1_대방', '1_신길', '5_신길', '5_영등포시장', '5_영등포구청', '5_양평', '5_오목교', '5_목동', '5_신정', '5_까치산', '5_화곡']",2.09817992678533e-05
5_마포,4_회현,18.4,"['5_마포', '5_공덕', '5_애오개', '5_충정로', '2_충정로', '2_시청', '1_시청', '1_서울역', '4_서울역', '4_회현']",2.0283233607187866e-05
5_충정로,2_까치산,24.9,"['5_충정로', '5_애오개', '5_공덕', '5_마포', '5_여의나루', '5_여의도', '5_신길', '5_영등포시장', '5_영등포구청', '5_양평', '5_오목교', '5_목동', '5_신정', '5_까치산', '2_까치산']",2.9904133407399057e-05
5_양평,1_봉명,112.83333333333333,"['5_양평', '5_영등포구청', '2_영등포구청', '2_문래', '2_신도림', '1_신도림', '1_구로', '1_가산디지털단지', '1_독산', '1_금천구청', '1_석수', '1_관악', '1_안양', '1_명학', '1_금정', '1_군포', '1_당정', '1_의왕', '1_성균관대', '1_화서', '1_수원', '1_세류', '1_병점', '1_세마', '1_오산대', '1_오산', '1_진위', '1_송탄', '1_서정리', '1_지제', '1_평택', '1_성환', '1_직산', '1_두정', '1_천안', '1_봉명']",2.150270350587865e-05
1_동암,2_신당,61.85,"['1_동암', '1_백운', '1_부평', '1_부개', '1_송내', '1_중동', '1_부천', '1_소사', '1_역곡', '1_온수', '1_오류동', '1_개봉', '1_구일', '1_구로', '1_신도림', '1_영등포', '1_신길', '1_대방', '1_노량진', '1_용산', '1_남영', '1_서울역', '4_서울역', '4_회현', '4_명동', '4_충무로', '4_동대문역사문화공원', '2_동대문역사문화공원', '2_신당']",1.2198703673978646e-05
3_약수,2_당산,25.066666666666666,"['3_약수', '3_동대입구', '3_충무로', '3_을지로3가', '2_을지로3가', '2_을지로입구', '2_시청', '2_충정로', '2_아현', '2_이대', '2_신촌', '2_홍대입구', '2_합정', '2_당산']",2.6538776000961662e-05
1_명학,1_개봉,25.5,"['1_명학', '1_안양', '1_관악', '1_석수', '1_금천구청', '1_독산', '1_가산디지털단지', '1_구로', '1_구일', '1_개봉']",8.759707755719622e-06
